evidence_id,request_id,source_id,claim,excerpt,entity,topic,date,confidence,credibility,recency_score,duplicate_flag,contradiction_flag,validation
ev-00001,req-0129,src-00046,Investment activity increased in Southeast Asia,DEMO evidence excerpt: investment activity increased in southeast asia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,JPMorgan Chase,pricing & demand,2026-07-13,0.68,62,62,yes,no,review
ev-00002,req-0406,src-00147,Regulatory requirements are tightening in India,DEMO evidence excerpt: regulatory requirements are tightening in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,Maersk,pricing & demand,2026-02-16,0.75,76,86,no,no,pass
ev-00003,req-0161,src-01689,Technology adoption is expanding in United States,DEMO evidence excerpt: technology adoption is expanding in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,AWS,customer behavior,2025-08-24,0.95,88,57,yes,yes,pass
ev-00004,req-0466,src-01349,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,AWS,technology adoption,2026-08-05,0.81,82,68,no,no,pass
ev-00005,req-0475,src-01228,Market growth is accelerating in Middle East,DEMO evidence excerpt: market growth is accelerating in middle east based on the referenced investor presentation source. This row is synthetic test data and not a real-world citation.,IBM,partnerships,2024-10-24,0.93,98,91,yes,yes,pass
ev-00006,req-0419,src-00015,Pricing pressure is increasing in Europe,DEMO evidence excerpt: pricing pressure is increasing in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Microsoft,value leakage,2025-05-12,0.84,89,55,yes,no,pass
ev-00007,req-0377,src-00089,Market growth is accelerating in Canada,DEMO evidence excerpt: market growth is accelerating in canada based on the referenced trade publication source. This row is synthetic test data and not a real-world citation.,Shopify,value leakage,2024-03-13,0.87,86,69,yes,no,pass
ev-00008,req-0017,src-01025,Customer behavior is changing in Australia,DEMO evidence excerpt: customer behavior is changing in australia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,DP World,regulation,2025-07-18,0.98,69,58,no,no,review
ev-00009,req-0281,src-01624,Supply constraints remain a monitored risk in Middle East,DEMO evidence excerpt: supply constraints remain a monitored risk in middle east based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Fortinet,customer behavior,2026-06-02,0.64,73,58,yes,no,review
ev-00010,req-0307,src-01957,Working-capital exposure is concentrated in selected segments in Global,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in global based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Medtronic,product launches,2026-06-15,0.9,85,86,no,no,pass
ev-00011,req-0389,src-01811,Pricing pressure is increasing in Southeast Asia,DEMO evidence excerpt: pricing pressure is increasing in southeast asia based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Samsung,product launches,2026-07-12,0.73,61,65,no,yes,pass
ev-00012,req-0029,src-01897,Competitor announced a new partnership in Southeast Asia,DEMO evidence excerpt: competitor announced a new partnership in southeast asia based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,ICICI Bank,value leakage,2024-12-25,0.95,77,77,no,no,pass
ev-00013,req-0254,src-00908,Pricing pressure is increasing in Canada,DEMO evidence excerpt: pricing pressure is increasing in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,Bharti Airtel,pricing & demand,2026-04-14,0.64,93,56,no,no,review
ev-00014,req-0303,src-00724,Demand is shifting toward premium offerings in Europe,DEMO evidence excerpt: demand is shifting toward premium offerings in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,JPMorgan Chase,risk & exposure,2025-06-12,0.68,87,70,no,yes,pass
ev-00015,req-0419,src-00988,Pricing pressure is increasing in Europe,DEMO evidence excerpt: pricing pressure is increasing in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,Microsoft,technology adoption,2024-06-27,0.64,83,62,yes,yes,pass
ev-00016,req-0338,src-00623,Demand is shifting toward premium offerings in Canada,DEMO evidence excerpt: demand is shifting toward premium offerings in canada based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Walmart,product launches,2024-03-15,0.59,84,94,no,no,pass
ev-00017,req-0392,src-00065,Operational efficiency is emerging as a value lever in United Kingdom,DEMO evidence excerpt: operational efficiency is emerging as a value lever in united kingdom based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Medtronic,investment trends,2026-02-28,0.7,90,79,no,no,pass
ev-00018,req-0397,src-01681,Working-capital exposure is concentrated in selected segments in United States,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in united states based on the referenced financial press source. This row is synthetic test data and not a real-world citation.,Intel,technology adoption,2024-05-05,0.79,72,62,no,no,pass
ev-00019,req-0323,src-01412,Working-capital exposure is concentrated in selected segments in United Kingdom,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in united kingdom based on the referenced government statistics source. This row is synthetic test data and not a real-world citation.,Tesla,technology adoption,2026-04-13,0.63,84,75,no,no,review
ev-00020,req-0174,src-01178,Working-capital exposure is concentrated in selected segments in India,DEMO evidence excerpt: working-capital exposure is concentrated in selected segments in india based on the referenced company newsroom source. This row is synthetic test data and not a real-world citation.,GE HealthCare,technology adoption,2025-07-14,0.62,62,58,no,no,review
ev-00021,req-0043,src-00149,Pricing pressure is increasing in Europe,DEMO evidence excerpt: pricing pressure is increasing in europe based on the referenced market data provider source. This row is synthetic test data and not a real-world citation.,Google,investment trends,2025-12-14,0.83,98,68,no,no,pass
ev-00022,req-0492,src-01772,Pricing pressure is increasing in United States,DEMO evidence excerpt: pricing pressure is increasing in united states based on the referenced regulatory authority source. This row is synthetic test data and not a real-world citation.,Hyundai,investment trends,2024-08-01,0.82,97,55,no,no,pass
ev-00023,req-0184,src-01394,Competitor announced a new partnership in Canada,DEMO evidence excerpt: competitor announced a new partnership in canada based on the referenced company filing source. This row is synthetic test data and not a real-world citation.,ABB,market size,2024-05-26,0.92,87,80,yes,yes,pass
ev-00024,req-0035,src-01988,Pricing pressure is increasing in Europe,DEMO evidence excerpt: pricing pressure is increasing in europe based on the referenced industry association source. This row is synthetic test data and not a real-world citation.,FedEx,partnerships,2025-02-24,0.71,70,96,no,yes,pass
ev-00025,req-0258,src-01730,Investment activity increased in Europe,DEMO evidence excerpt: investment activity increased in europe based on the referenced research publication source. This row is synthetic test data and not a real-world citation.,BYD,investment trends,2024-03-31,0.6,72,55,no,no,pass
