request_id,query,market,geography,timeframe,competitors,output_format,report_depth,status
req-0001,Assess industrial automation working capital in Southeast Asia from 2023 to 2026,Industrial Automation,Southeast Asia,2023-2026,"Rockwell Automation, Honeywell, Schneider Electric, Siemens, ABB",internal review,deep dive,pending
req-0002,Analyze renewable energy competitive landscape and market size in United States,Renewable Energy,United States,2023-2026,"NTPC, ReNew",workshop,standard,pending
req-0003,Analyze automotive competitive landscape and product launches in Japan,Automotive,Japan,2024-2026,"BMW, Toyota, Tesla, Hyundai, Volkswagen",proposal,standard,pending
req-0004,Evaluate cloud computing market entry and growth opportunities in United States,Cloud Computing,United States,2024-2026,"AWS, Google Cloud, Oracle, IBM",proposal,detailed,completed
req-0005,Assess industrial automation partnerships in Australia from 2023 to 2026,Industrial Automation,Australia,2023-2026,"Siemens, Honeywell, Schneider Electric",internal review,standard,running
req-0006,"Monitor generative ai trends, risks and strategic implications for Canada",Generative AI,Canada,2024-2026,"Google, OpenAI, Microsoft, Meta, Anthropic",strategy brief,standard,completed
req-0007,Assess healthcare technology working capital in Japan from 2025 to 2026,Healthcare Technology,Japan,2025-2026,"Philips, Siemens Healthineers, GE HealthCare",strategy brief,detailed,completed
req-0008,Assess renewable energy customer behavior in Australia from 2025 to 2026,Renewable Energy,Australia,2025-2026,"Adani Green, NTPC",strategy brief,detailed,pending
req-0009,Analyze renewable energy competitive landscape and supply chain in Global,Renewable Energy,Global,2025-2026,"Siemens Gamesa, ReNew, NTPC, Vestas, Adani Green",proposal,standard,running
req-0010,"Monitor industrial automation trends, risks and strategic implications for Middle East",Industrial Automation,Middle East,2023-2026,"Rockwell Automation, Honeywell, Siemens, Schneider Electric",workshop,detailed,completed
req-0011,Evaluate renewable energy market entry and growth opportunities in Global,Renewable Energy,Global,2022-2026,"Adani Green, Vestas, NTPC, Siemens Gamesa, ReNew",internal review,detailed,pending
req-0012,Assess electric vehicles supply chain in Australia from 2023 to 2026,Electric Vehicles,Australia,2023-2026,"Tata Motors, MG Motor India, BYD",proposal,deep dive,pending
req-0013,Evaluate cloud computing market entry and growth opportunities in Global,Cloud Computing,Global,2022-2026,"Google Cloud, IBM, Microsoft Azure, Oracle",strategy brief,deep dive,pending
req-0014,Assess fintech partnerships in Middle East from 2024 to 2026,FinTech,Middle East,2024-2026,"Razorpay, Adyen, PhonePe, PayPal",internal review,standard,completed
req-0015,Assess e-commerce product launches in United States from 2024 to 2026,E-commerce,United States,2024-2026,"Alibaba, Walmart, Shopify",strategy brief,standard,completed
req-0016,Assess industrial automation pricing & demand in United Kingdom from 2022 to 2026,Industrial Automation,United Kingdom,2022-2026,"Rockwell Automation, Honeywell, Siemens",workshop,standard,pending
req-0017,Assess logistics customer behavior in Australia from 2023 to 2026,Logistics,Australia,2023-2026,"DHL, UPS, Maersk",proposal,detailed,completed
req-0018,Analyze cybersecurity competitive landscape and risk & exposure in Middle East,Cybersecurity,Middle East,2022-2026,"Microsoft, Cisco, Fortinet",internal review,standard,pending
req-0019,Analyze automotive competitive landscape and working capital in Japan,Automotive,Japan,2025-2026,"Volkswagen, Hyundai",workshop,detailed,completed
req-0020,"Monitor banking trends, risks and strategic implications for Australia",Banking,Australia,2025-2026,"HSBC, HDFC Bank, ICICI Bank, DBS, JPMorgan Chase",workshop,detailed,running
req-0021,Analyze telecom competitive landscape and supply chain in Australia,Telecom,Australia,2025-2026,"AT&T, Verizon",workshop,standard,completed
req-0022,Evaluate fintech market entry and growth opportunities in Australia,FinTech,Australia,2023-2026,"Stripe, Razorpay, PhonePe, Adyen, PayPal",workshop,deep dive,completed
req-0023,"Monitor electric vehicles trends, risks and strategic implications for Canada",Electric Vehicles,Canada,2023-2026,"Tata Motors, Mahindra, Hyundai, MG Motor India, BYD",proposal,deep dive,completed
req-0024,"Monitor cloud computing trends, risks and strategic implications for Japan",Cloud Computing,Japan,2024-2026,"Oracle, AWS, Google Cloud, Microsoft Azure",workshop,deep dive,pending
req-0025,Assess semiconductors market growth in Australia from 2025 to 2026,Semiconductors,Australia,2025-2026,"Samsung, Intel, AMD, NVIDIA, TSMC",proposal,standard,completed
req-0026,Analyze automotive competitive landscape and customer behavior in Canada,Automotive,Canada,2025-2026,"Toyota, Volkswagen",proposal,standard,running
req-0027,Evaluate banking market entry and growth opportunities in United States,Banking,United States,2024-2026,"HSBC, HDFC Bank, JPMorgan Chase",proposal,detailed,running
req-0028,Analyze automotive competitive landscape and risk & exposure in United Kingdom,Automotive,United Kingdom,2022-2026,"Tesla, BMW",internal review,deep dive,completed
req-0029,"Monitor banking trends, risks and strategic implications for Southeast Asia",Banking,Southeast Asia,2022-2026,"ICICI Bank, HSBC, HDFC Bank",proposal,standard,running
req-0030,"Monitor generative ai trends, risks and strategic implications for Europe",Generative AI,Europe,2023-2026,"Google, Anthropic, Meta, OpenAI",internal review,standard,completed
req-0031,Assess generative ai market size in Southeast Asia from 2025 to 2026,Generative AI,Southeast Asia,2025-2026,"Anthropic, Microsoft, Meta, Google",workshop,standard,pending
req-0032,Evaluate automotive market entry and growth opportunities in Global,Automotive,Global,2022-2026,"Tesla, Hyundai",proposal,detailed,completed
req-0033,Evaluate automotive market entry and growth opportunities in Australia,Automotive,Australia,2024-2026,"Volkswagen, Hyundai, Tesla",strategy brief,standard,pending
