source_id,request_id,url,source_type,title,publisher,retrieval_date,quality_score,relevance_score
src-00001,req-0182,https://gov.example/research/healthcare-technology/00001,news,Healthcare Technology: Pricing & Demand update for India,Regulatory authority,2026-05-06,84,86
src-00002,req-0266,https://news.example/research/logistics/00002,regulatory,Logistics: Customer Behavior update for Europe,Investor presentation,2026-06-25,70,98
src-00003,req-0417,https://news.example/research/generative-ai/00003,news,Generative AI: Working Capital update for United States,Investor presentation,2025-05-01,97,70
src-00004,req-0478,https://research.example/research/fintech/00004,company source,FinTech: Risk & Exposure update for United States,Company newsroom,2026-03-12,82,86
src-00005,req-0039,https://industry.example/research/semiconductors/00005,government,Semiconductors: Pricing & Demand update for Europe,Regulatory authority,2026-05-17,64,79
src-00006,req-0361,https://industry.example/research/consumer-goods/00006,government,Consumer Goods: Market Size update for United States,Company newsroom,2026-06-21,69,88
src-00007,req-0276,https://company.example/research/e-commerce/00007,government,E-commerce: Product Launches update for Southeast Asia,Trade publication,2024-05-22,75,77
src-00008,req-0077,https://industry.example/research/automotive/00008,news,Automotive: Partnerships update for Southeast Asia,Market data provider,2025-08-29,97,91
src-00009,req-0161,https://company.example/research/cloud-computing/00009,industry source,Cloud Computing: Operational Efficiency update for United States,Financial press,2026-01-17,79,96
src-00010,req-0007,https://company.example/research/healthcare-technology/00010,company source,Healthcare Technology: Market Growth update for Japan,Investor presentation,2026-06-11,69,90
src-00011,req-0316,https://news.example/research/consumer-goods/00011,research report,Consumer Goods: Pricing & Demand update for Middle East,Market data provider,2024-08-23,63,87
src-00012,req-0047,https://gov.example/research/banking/00012,regulatory,Banking: Technology Adoption update for Southeast Asia,Investor presentation,2024-11-14,83,88
src-00013,req-0401,https://company.example/research/cloud-computing/00013,news,Cloud Computing: Risk & Exposure update for Australia,Market data provider,2025-02-24,64,68
src-00014,req-0302,https://company.example/research/semiconductors/00014,industry source,Semiconductors: Working Capital update for United Kingdom,Trade publication,2025-10-21,89,81
src-00015,req-0419,https://company.example/research/cybersecurity/00015,government,Cybersecurity: Risk & Exposure update for Europe,Industry association,2025-05-12,99,99
src-00016,req-0441,https://company.example/research/semiconductors/00016,government,Semiconductors: Value Leakage update for India,Trade publication,2024-01-11,70,81
src-00017,req-0293,https://company.example/research/e-commerce/00017,research report,E-commerce: Customer Behavior update for Southeast Asia,Company newsroom,2025-07-29,90,65
src-00018,req-0463,https://company.example/research/automotive/00018,company source,Automotive: Risk & Exposure update for India,Regulatory authority,2026-01-21,75,62
src-00019,req-0390,https://industry.example/research/semiconductors/00019,industry source,Semiconductors: Market Growth update for Middle East,Market data provider,2025-03-19,93,89
src-00020,req-0186,https://gov.example/research/automotive/00020,research report,Automotive: Working Capital update for India,Government statistics,2025-02-16,83,87
src-00021,req-0050,https://news.example/research/automotive/00021,company source,Automotive: Risk & Exposure update for United Kingdom,Investor presentation,2026-08-25,85,64
src-00022,req-0184,https://company.example/research/industrial-automation/00022,industry source,Industrial Automation: Pricing & Demand update for Canada,Company filing,2025-03-23,81,94
src-00023,req-0357,https://regulator.example/research/consumer-goods/00023,research report,Consumer Goods: Customer Behavior update for Canada,Company newsroom,2024-12-16,63,83
src-00024,req-0277,https://gov.example/research/fintech/00024,industry source,FinTech: Market Growth update for Japan,Company newsroom,2026-04-11,67,79
src-00025,req-0381,https://research.example/research/e-commerce/00025,research report,E-commerce: Supply Chain update for United States,Trade publication,2024-02-05,70,90
src-00026,req-0166,https://industry.example/research/e-commerce/00026,news,E-commerce: Technology Adoption update for India,Regulatory authority,2026-01-27,99,87
